"","date","year","month","area","allAveragePrice","numofsales","detachedAveragePrice","detachedNumberofSales","semidetachedAveragePrice","semidetachedNumberofSales","attachedAveragePrice","attachedNumberofSales","condotownhouseAveragePrice","condotownhouseNumberofSales","condoapartmentAveragePrice","condoapartmentNumberofSales"
"1","01-2012",12,"1","Adjala-Tosorontio",500114,7,"500114","7","-","-","-","-","-","-","-","-"
"2","01-2012",12,"1","Ajax",360844,113,"403918","76","303333","9","214583","6","197475","4","292789","18"
"3","01-2012",12,"1","Aurora",611050,36,"699987","23","374400","5","625833","3","450000","1","424650","4"
"4","01-2012",12,"1","Bradford West Gwillimbury",365748,42,"406640","28","313600","5","219750","2","190000","1","335000","1"
"5","01-2012",12,"1","Brampton",386210,491,"453558","264","356932","101","237821","28","205677","43","331304","53"
"6","01-2012",12,"1","Brock",252489,9,"255175","8","-","-","231000","1","-","-","-","-"
"7","01-2012",12,"1","Burlington",424624,34,"556633","15","392000","2","275733","6","276900","5","382825","4"
"8","01-2012",12,"1","Caledon",620934,32,"666333","27","388500","4","-","-","-","-","324900","1"
"9","01-2012",12,"1","City of Toronto",499045,1705,"743993","559","526599","157","332827","133","343835","775","578673","61"
"10","01-2012",12,"1","City of Toronto Total",499045,1705,"743993","559","526599","157","332827","133","343835","775","578673","61"
"11","01-2012",12,"1","Clarington",284590,83,"309035","57","197500","2","200080","5","216717","3","218833","6"
"12","01-2012",12,"1","Dufferin County",301794,35,"331072","25","247333","3","196250","4","244500","2","-","-"
"13","01-2012",12,"1","Durham Region",318668,582,"349296","409","257313","38","205927","45","212845","19","275748","54"
"14","01-2012",12,"1","East Gwillimbury",409178,9,"435575","8","-","-","-","-","198000","1","-","-"
"15","01-2012",12,"1","Essa",282874,8,"288141","7","-","-","-","-","-","-","246000","1"
"16","01-2012",12,"1","Georgina",264268,41,"271871","31","361000","2","172000","3","141000","1","257000","4"
"17","01-2012",12,"1","Halton Hills",414713,54,"456558","40","366450","4","228833","6","272500","1","340300","3"
"18","01-2012",12,"1","Halton Region",491561,292,"582215","170","397472","25","294120","25","324531","16","394972","53"
"19","01-2012",12,"1","Innisfil",306448,21,"319578","18","-","-","-","-","-","-","227667","3"
"20","01-2012",12,"1","King",796963,19,"850729","17","-","-","-","-","284900","1","-","-"
"21","01-2012",12,"1","Markham",542873,216,"726728","90","458545","22","400593","14","336991","46","448684","25"
"22","01-2012",12,"1","Milton",433312,86,"508997","44","386231","13","276333","3","293500","1","349020","25"
"23","01-2012",12,"1","Mississauga",433824,537,"673057","165","412715","99","317189","88","259296","153","426913","23"
"24","01-2012",12,"1","New Tecumseth",301657,22,"317847","16","-","-","175633","3","-","-","233500","2"
"25","01-2012",12,"1","Newmarket",426393,70,"482277","44","362722","9","281333","3","205333","3","356430","10"
